word,The Craft,Lords of Salem,total
black,0,3,3
bill,0,3,3
bigger,0,3,3
balance,0,3,3
afraid,0,3,3
youll,0,2,2
worked,0,2,2
win,0,2,2
whyd,0,2,2
weirdos,0,2,2
warm,0,2,2
usually,0,2,2
unto,0,2,2
uniform,0,2,2
undo,0,2,2
underneath,0,2,2
twenty,0,2,2
trust,0,2,2
tried,0,2,2
throwing,0,2,2
takes,0,2,2
sweet,0,2,2
surprise,0,2,2
sucks,0,2,2
straight,0,2,2
storm,0,2,2
steal,0,2,2
started,0,2,2
slut,0,2,2
slit,0,2,2
size,0,2,2
seen,0,2,2
scary,0,2,2
salon,0,2,2
rub,0,2,2
roof,0,2,2
rochelles,0,2,2
results,0,2,2
relaxed,0,2,2
reach,0,2,2
ran,0,2,2
procedure,0,2,2
powerful,0,2,2
policy,0,2,2
plane,0,2,2
noninvasive,0,2,2
nah,0,2,2
mine,0,2,2
middle,0,2,2
loved,0,2,2
lot,0,2,2
laid,0,2,2
keeps,0,2,2
juke,0,2,2
joke,0,2,2
jerk,0,2,2
jenny,0,2,2
impressed,0,2,2
hurt,0,2,2
hundred,0,2,2
hooker,0,2,2
havent,0,2,2
hanging,0,2,2
green,0,2,2
goes,0,2,2
goddamn,0,2,2
form,0,2,2
fly,0,2,2
fingers,0,2,2
far,0,2,2
fall,0,2,2
experience,0,2,2
dreams,0,2,2
dream,0,2,2
discount,0,2,2
dinner,0,2,2
couldnt,0,2,2
concentrate,0,2,2
bleeding,0,2,2
bed,0,2,2
apologize,0,2,2
amazing,0,2,2
aint,0,2,2
accident,0,2,2
writing,0,1,1
wrists,0,1,1
wreckage,0,1,1
wrap,0,1,1
wow,0,1,1
wouldnt,0,1,1
worst,0,1,1
wonder,0,1,1
wise,0,1,1
window,0,1,1
wick,0,1,1
wholeness,0,1,1
whered,0,1,1
whatd,0,1,1
week,0,1,1
warranties,0,1,1
warming,0,1,1
waah,0,1,1
view,0,1,1
veins,0,1,1
upright,0,1,1
unofficially,0,1,1
unleash,0,1,1
undoing,0,1,1
turns,0,1,1
turned,0,1,1
trip,0,1,1
treys,0,1,1
tremendous,0,1,1
trees,0,1,1
treating,0,1,1
treat,0,1,1
travel,0,1,1
trail,0,1,1
tragedy,0,1,1
towels,0,1,1
totally,0,1,1
todays,0,1,1
tits,0,1,1
tiny,0,1,1
thy,0,1,1
throat,0,1,1
threefold,0,1,1
theyd,0,1,1
therapy,0,1,1
theological,0,1,1
tempting,0,1,1
temple,0,1,1
tells,0,1,1
telling,0,1,1
taxis,0,1,1
taking,0,1,1
suspect,0,1,1
survivors,0,1,1
survival,0,1,1
surround,0,1,1
surrender,0,1,1
superb,0,1,1
sun,0,1,1
summon,0,1,1
suits,0,1,1
suffer,0,1,1
subtle,0,1,1
strange,0,1,1
stir,0,1,1
sting,0,1,1
stepford,0,1,1
steals,0,1,1
starts,0,1,1
stare,0,1,1
standard,0,1,1
stairs,0,1,1
stadium,0,1,1
square,0,1,1
spreads,0,1,1
sprained,0,1,1
split,0,1,1
spiritual,0,1,1
spent,0,1,1
spending,0,1,1
spanish,0,1,1
space,0,1,1
sounded,0,1,1
sort,0,1,1
somewhat,0,1,1
somethin,0,1,1
social,0,1,1
snakes,0,1,1
snake,0,1,1
snail,0,1,1
smaller,0,1,1
slick,0,1,1
sleeping,0,1,1
simpler,0,1,1
side,0,1,1
shy,0,1,1
shrunken,0,1,1
shouldve,0,1,1
shopping,0,1,1
shone,0,1,1
shitty,0,1,1
shear,0,1,1
sharp,0,1,1
shark,0,1,1
shape,0,1,1
shampoo,0,1,1
severe,0,1,1
seventy,0,1,1
set,0,1,1
seriously,0,1,1
send,0,1,1
seeing,0,1,1
seat,0,1,1
sea,0,1,1
screwing,0,1,1
screwed,0,1,1
