word,Snow White and the Seven Dwarves,Kikis Delivery Service,total
heart,0,14,14
unison,0,13,13
hah,0,13,13
end,0,13,13
tsk,0,12,12
humming,0,12,12
sung,0,11,11
echoing,0,11,11
apple,0,11,11
tub,0,10,10
spoken,0,10,10
gasping,0,10,10
ee,0,10,10
ay,0,10,10
wash,0,9,9
sleepy,0,9,9
shh,0,9,9
creaking,0,9,9
chuckling,0,9,9
ch,0,9,9
screaming,0,8,8
princess,0,8,8
yodelling,0,7,7
wishing,0,7,7
watch,0,7,7
sputtering,0,7,7
snoring,0,7,7
sing,0,7,7
seven,0,7,7
prince,0,7,7
mirror,0,7,7
kill,0,7,7
gosh,0,7,7
dreams,0,7,7
bite,0,7,7
sobbing,0,6,6
sleeping,0,6,6
sighing,0,6,6
huntsman,0,6,6
gotta,0,6,6
fairest,0,6,6
dopey,0,6,6
chirping,0,6,6
chattering,0,6,6
aint,0,6,6
whistle,0,5,5
tune,0,5,5
sniffing,0,5,5
mighty,0,5,5
hide,0,5,5
em,0,5,5
death,0,5,5
comfortable,0,5,5
buzzing,0,5,5
washed,0,4,4
taint,0,4,4
spring,0,4,4
sneezing,0,4,4
shouting,0,4,4
shoes,0,4,4
ringing,0,4,4
nothin,0,4,4
majesty,0,4,4
lee,0,4,4
hum,0,4,4
forever,0,4,4
clean,0,4,4
clattering,0,4,4
chooooo,0,4,4
children,0,4,4
castle,0,4,4
birds,0,4,4
beds,0,4,4
anew,0,4,4
words,0,3,3
wiles,0,3,3
wicked,0,3,3
wedding,0,3,3
warnin,0,3,3
wa,0,3,3
thy,0,3,3
taste,0,3,3
squirrel,0,3,3
squeaking,0,3,3
sloshing,0,3,3
silly,0,3,3
share,0,3,3
scrub,0,3,3
ring,0,3,3
recently,0,3,3
poor,0,3,3
pig,0,3,3
pies,0,3,3
note,0,3,3
nervous,0,3,3
kiss,0,3,3
keeps,0,3,3
hurray,0,3,3
howling,0,3,3
guard,0,3,3
granny,0,3,3
gooseberry,0,3,3
giggling,0,3,3
fools,0,3,3
fool,0,3,3
entreating,0,3,3
doin,0,3,3
dishes,0,3,3
crickets,0,3,3
cook,0,3,3
chorus,0,3,3
yawning,0,2,2
world,0,2,2
woods,0,2,2
women,0,2,2
wall,0,2,2
wake,0,2,2
vocalizing,0,2,2
trick,0,2,2
tidy,0,2,2
thunderclap,0,2,2
thrilling,0,2,2
thee,0,2,2
th,0,2,2
